Frequency	dBm
0.000000	-33.028795
250.000000	-52.263646
500.000000	-52.296123
750.000000	-52.901478
1000.000000	-52.423185
1250.000000	-51.772410
1500.000000	-52.438590
1750.000000	-52.836891
2000.000000	-52.670422
2250.000000	-52.556204
2500.000000	-52.648656
2750.000000	-52.710032
3000.000000	-52.901620
3250.000000	-53.155001
3500.000000	-52.923416
3750.000000	-53.902387
4000.000000	-52.880771
4250.000000	-53.348881
4500.000000	-53.039152
4750.000000	-52.755485
5000.000000	-53.273622
5250.000000	-52.656643
5500.000000	-52.792423
5750.000000	-52.414300
6000.000000	-53.093855
6250.000000	-52.659491
6500.000000	-52.452126
6750.000000	-51.789358
7000.000000	-52.961491
7250.000000	-52.476150
7500.000000	-52.377256
7750.000000	-52.789727
8000.000000	-53.220824
8250.000000	-52.670359
8500.000000	-53.533761
8750.000000	-52.819102
9000.000000	-53.121869
9250.000000	-52.501387
9500.000000	-52.854378
9750.000000	-53.022994
10000.000000	-53.734049
10250.000000	-53.252267
10500.000000	-53.006082
10750.000000	-52.898152
11000.000000	-53.009106
11250.000000	-53.549351
11500.000000	-53.881914
11750.000000	-53.152434
12000.000000	-52.492221
12250.000000	-52.647796
12500.000000	-53.269214
12750.000000	-52.890413
13000.000000	-53.435537
13250.000000	-53.468083
13500.000000	-53.664874
13750.000000	-53.217986
14000.000000	-53.151787
14250.000000	-53.430054
14500.000000	-52.968406
14750.000000	-53.068586
15000.000000	-53.453208
15250.000000	-53.055495
15500.000000	-53.290259
15750.000000	-53.369475
16000.000000	-53.190815
16250.000000	-52.969566
16500.000000	-53.126744
16750.000000	-53.311469
17000.000000	-53.525553
17250.000000	-53.393997
17500.000000	-53.167734
17750.000000	-52.382065
18000.000000	-52.711923
18250.000000	-53.709693
18500.000000	-53.123192
18750.000000	-53.198788
19000.000000	-52.862920
19250.000000	-52.783964
19500.000000	-53.362060
19750.000000	-52.806300
20000.000000	-52.865033
20250.000000	-52.573553
20500.000000	-52.541443
20750.000000	-53.176492
21000.000000	-53.530048
21250.000000	-52.825134
21500.000000	-53.107402
21750.000000	-53.176344
22000.000000	-53.263894
22250.000000	-51.840168
22500.000000	-52.772828
22750.000000	-53.032895
23000.000000	-52.992680
23250.000000	-52.575093
23500.000000	-52.915329
23750.000000	-53.010996
24000.000000	-52.816115
24250.000000	-52.678694
24500.000000	-52.610868
24750.000000	-53.055180
25000.000000	-52.757803
25250.000000	-52.726709
25500.000000	-52.798027
25750.000000	-52.695499
26000.000000	-53.011455
26250.000000	-52.561296
26500.000000	-52.729261
26750.000000	-52.317229
27000.000000	-52.592396
27250.000000	-52.428419
27500.000000	-53.156369
27750.000000	-52.569653
28000.000000	-52.323281
28250.000000	-52.789859
28500.000000	-52.538383
28750.000000	-52.630050
29000.000000	-52.816855
29250.000000	-52.954332
29500.000000	-52.471788
29750.000000	-52.731264
30000.000000	-52.817853
30250.000000	-53.376245
30500.000000	-53.014009
30750.000000	-52.225040
