Frequency	dBm
0.000000	-16.529827
12.500000	-13.534415
25.000000	-14.322917
37.500000	-13.791871
50.000000	-14.483029
62.500000	-13.406638
75.000000	-13.498226
87.500000	-14.553782
100.000000	-13.917310
112.500000	-14.134713
125.000000	-15.024731
137.500000	-13.794673
150.000000	-13.468860
162.500000	-14.628683
175.000000	-12.726208
187.500000	-14.409413
200.000000	-13.199467
212.500000	-14.106321
225.000000	-14.309273
237.500000	-13.348022
250.000000	-13.134190
262.500000	-13.782826
275.000000	-13.997330
287.500000	-14.942790
300.000000	-14.022744
312.500000	-14.148916
325.000000	-13.738791
337.500000	-13.706403
350.000000	-13.315296
362.500000	-13.605158
375.000000	-14.417137
387.500000	-13.594548
400.000000	-13.735561
412.500000	-13.638216
425.000000	-12.786599
437.500000	-13.669198
450.000000	-13.691767
462.500000	-13.559109
475.000000	-13.840107
487.500000	-13.300305
500.000000	-14.365493
512.500000	-13.468636
525.000000	-14.138528
537.500000	-13.724517
550.000000	-13.974830
562.500000	-14.742557
575.000000	-14.226288
587.500000	-13.440674
600.000000	-14.246617
612.500000	-13.426108
625.000000	-12.806907
637.500000	-13.756423
650.000000	-13.001323
662.500000	-14.097267
675.000000	-14.088007
687.500000	-14.400601
700.000000	-13.943860
712.500000	-13.037086
725.000000	-13.875893
737.500000	-14.323115
750.000000	-14.451722
762.500000	-13.521252
775.000000	-14.563442
787.500000	-14.067422
800.000000	-13.658032
812.500000	-13.595973
825.000000	-13.303765
837.500000	-13.871057
850.000000	-13.412537
862.500000	-13.525053
875.000000	-13.599856
887.500000	-13.744674
900.000000	-13.510485
912.500000	-14.394110
925.000000	-12.821817
937.500000	-14.244921
950.000000	-13.800561
962.500000	-13.906220
975.000000	-13.910090
987.500000	-13.534566
1000.000000	-14.264475
1012.500000	-14.402459
1025.000000	-13.878070
1037.500000	-14.210390
1050.000000	-13.939784
1062.500000	-13.780918
1075.000000	-14.010530
1087.500000	-14.105953
1100.000000	-12.969678
1112.500000	-14.412560
1125.000000	-13.207347
1137.500000	-12.867139
1150.000000	-14.010052
1162.500000	-13.328604
1175.000000	-14.674799
1187.500000	-13.622574
1200.000000	-13.204449
1212.500000	-14.303965
1225.000000	-13.625535
1237.500000	-14.561287
1250.000000	-13.990453
1262.500000	-14.075227
1275.000000	-14.555727
1287.500000	-13.429500
1300.000000	-13.017211
1312.500000	-12.868967
1325.000000	-13.764472
1337.500000	-13.038448
1350.000000	-14.251729
1362.500000	-13.337610
1375.000000	-13.442643
1387.500000	-13.467162
1400.000000	-13.871627
1412.500000	-13.694116
1425.000000	-13.673632
1437.500000	-15.048034
1450.000000	-13.225613
1462.500000	-13.735794
1475.000000	-13.798588
1487.500000	-13.493063
1500.000000	-13.831218
1512.500000	-13.776828
1525.000000	-13.489560
1537.500000	-13.826604
1550.000000	-14.040249
1562.500000	-13.841142
1575.000000	-14.050594
1587.500000	-13.676727
1600.000000	-13.906017
1612.500000	-13.587182
1625.000000	-13.653485
1637.500000	-14.267418
1650.000000	-14.498950
1662.500000	-13.343998
1675.000000	-14.017956
1687.500000	-13.680359
1700.000000	-13.805184
1712.500000	-14.199601
1725.000000	-13.653158
1737.500000	-13.129529
1750.000000	-14.051552
1762.500000	-14.121406
1775.000000	-14.014265
1787.500000	-14.898938
1800.000000	-13.057872
1812.500000	-13.650318
1825.000000	-14.136366
1837.500000	-13.740431
1850.000000	-14.451769
1862.500000	-13.543343
1875.000000	-13.486793
1887.500000	-13.905968
1900.000000	-13.410983
1912.500000	-13.499928
1925.000000	-13.735914
1937.500000	-13.426025
1950.000000	-13.895675
1962.500000	-13.476810
1975.000000	-13.810592
1987.500000	-13.565854
2000.000000	-14.227311
2012.500000	-13.440698
2025.000000	-13.673913
2037.500000	-13.219448
2050.000000	-14.168737
2062.500000	-14.489216
2075.000000	-13.303752
2087.500000	-14.018267
2100.000000	-13.752664
2112.500000	-14.421435
2125.000000	-13.690638
2137.500000	-14.424324
2150.000000	-12.614374
2162.500000	-13.571056
2175.000000	-13.636921
2187.500000	-13.620942
2200.000000	-13.907053
2212.500000	-14.015051
2225.000000	-12.814160
2237.500000	-13.529829
2250.000000	-14.212178
2262.500000	-13.889349
2275.000000	-14.417105
2287.500000	-13.799882
2300.000000	-14.468822
2312.500000	-14.744182
2325.000000	-14.002265
2337.500000	-14.190910
2350.000000	-13.923527
2362.500000	-13.711735
2375.000000	-13.442419
2387.500000	-13.143998
2400.000000	-13.763555
2412.500000	-13.991281
2425.000000	-14.018471
2437.500000	-13.733385
2450.000000	-14.001082
2462.500000	-14.718058
2475.000000	-13.421288
2487.500000	-13.795508
2500.000000	-14.371336
2512.500000	-13.672151
2525.000000	-13.723408
