Frequency	dBVrms
0.000000	-0.226963
12.500000	0.836943
25.000000	-5.126731
37.500000	-15.527834
50.000000	-31.302675
62.500000	-52.770596
75.000000	-55.149238
87.500000	-55.800592
100.000000	-56.785847
112.500000	-58.353633
125.000000	-60.062557
137.500000	-61.494413
150.000000	-61.739290
162.500000	-61.075665
175.000000	-61.546333
187.500000	-62.812265
200.000000	-60.470955
212.500000	-58.021271
225.000000	-57.901069
237.500000	-59.038712
250.000000	-60.038711
262.500000	-60.438027
275.000000	-60.054970
287.500000	-59.359740
300.000000	-58.720870
312.500000	-58.825619
325.000000	-59.432657
337.500000	-59.462441
350.000000	-59.350765
362.500000	-59.075180
375.000000	-57.836343
387.500000	-56.777436
400.000000	-56.701791
412.500000	-57.360822
425.000000	-58.526071
437.500000	-59.593717
450.000000	-60.574441
462.500000	-61.209784
475.000000	-61.436912
487.500000	-62.364207
500.000000	-61.918201
512.500000	-60.333551
525.000000	-60.157188
537.500000	-61.347000
550.000000	-62.300923
562.500000	-63.228235
575.000000	-63.104665
587.500000	-61.576291
600.000000	-60.124463
612.500000	-59.132089
625.000000	-59.492006
637.500000	-60.973884
650.000000	-61.380787
662.500000	-60.874816
675.000000	-60.687876
687.500000	-60.591412
700.000000	-61.259060
712.500000	-62.744946
725.000000	-63.745871
737.500000	-62.884630
750.000000	-61.810909
762.500000	-61.398121
775.000000	-60.397173
787.500000	-59.697101
800.000000	-60.235903
812.500000	-61.314366
825.000000	-62.111250
837.500000	-61.684505
850.000000	-60.498732
862.500000	-59.554820
875.000000	-59.130675
887.500000	-60.081706
900.000000	-62.273078
912.500000	-62.777280
925.000000	-61.237487
937.500000	-59.793931
950.000000	-59.215830
962.500000	-56.173918
975.000000	-47.930671
987.500000	-42.118927
1000.000000	-40.170622
1012.500000	-42.081319
1025.000000	-47.883125
1037.500000	-56.605580
1050.000000	-61.730397
1062.500000	-62.720910
1075.000000	-61.589076
1087.500000	-60.257335
1100.000000	-60.185713
1112.500000	-61.315039
1125.000000	-61.871835
1137.500000	-62.134062
1150.000000	-62.544079
1162.500000	-61.909951
1175.000000	-61.323561
1187.500000	-61.791875
1200.000000	-61.674304
1212.500000	-59.239475
1225.000000	-57.480134
1237.500000	-57.478559
1250.000000	-58.556142
1262.500000	-59.585297
1275.000000	-59.878086
1287.500000	-59.461090
1300.000000	-58.900990
1312.500000	-58.909658
1325.000000	-59.353599
1337.500000	-60.373956
1350.000000	-61.573236
1362.500000	-62.532748
1375.000000	-64.052725
1387.500000	-62.991680
1400.000000	-60.440418
1412.500000	-59.740767
1425.000000	-60.284433
1437.500000	-59.622870
1450.000000	-58.119798
1462.500000	-57.725861
1475.000000	-58.704049
1487.500000	-59.411880
1500.000000	-58.980177
1512.500000	-59.522031
1525.000000	-61.476762
1537.500000	-61.414974
1550.000000	-59.948993
1562.500000	-60.036480
1575.000000	-61.180961
1587.500000	-60.966477
1600.000000	-60.048907
1612.500000	-60.417566
1625.000000	-60.853783
1637.500000	-60.130189
1650.000000	-60.323475
1662.500000	-62.165687
1675.000000	-64.062305
1687.500000	-63.610896
1700.000000	-61.356915
1712.500000	-60.260252
1725.000000	-61.184869
1737.500000	-62.424569
1750.000000	-62.723080
1762.500000	-62.598453
1775.000000	-61.773117
1787.500000	-60.865580
1800.000000	-60.569945
1812.500000	-60.900437
1825.000000	-61.172806
1837.500000	-61.107703
1850.000000	-61.347551
1862.500000	-61.018973
1875.000000	-60.350912
1887.500000	-60.025351
1900.000000	-59.519088
1912.500000	-58.832420
1925.000000	-58.756518
1937.500000	-59.746849
1950.000000	-60.942115
1962.500000	-60.910742
1975.000000	-60.220207
1987.500000	-60.059787
2000.000000	-60.836332
2012.500000	-61.984042
2025.000000	-62.611722
2037.500000	-63.123500
2050.000000	-62.858546
2062.500000	-58.950744
2075.000000	-55.501366
2087.500000	-55.557186
2100.000000	-58.615206
2112.500000	-60.083205
2125.000000	-60.585445
2137.500000	-60.634460
2150.000000	-59.339108
2162.500000	-59.254304
2175.000000	-59.841662
2187.500000	-60.491419
2200.000000	-61.012423
2212.500000	-60.404525
2225.000000	-60.251310
2237.500000	-60.798541
2250.000000	-60.405184
2262.500000	-60.122690
2275.000000	-60.453446
2287.500000	-60.402532
2300.000000	-60.306335
2312.500000	-61.462603
2325.000000	-62.547523
2337.500000	-61.742797
2350.000000	-61.503159
2362.500000	-61.492284
2375.000000	-60.453275
2387.500000	-60.388873
2400.000000	-61.838460
2412.500000	-62.949754
2425.000000	-63.838821
2437.500000	-65.227824
2450.000000	-65.077148
2462.500000	-63.824149
2475.000000	-63.198927
2487.500000	-62.320113
2500.000000	-60.357602
2512.500000	-59.620722
2525.000000	-59.929561
2537.500000	-60.893168
2550.000000	-63.184749
2562.500000	-63.903369
2575.000000	-62.754570
2587.500000	-62.911600
2600.000000	-63.724905
2612.500000	-63.479933
2625.000000	-62.999636
2637.500000	-62.450175
2650.000000	-61.283613
2662.500000	-60.364810
2675.000000	-60.066866
2687.500000	-60.088323
2700.000000	-61.059393
2712.500000	-63.229237
2725.000000	-64.068730
2737.500000	-62.374250
2750.000000	-60.880082
2762.500000	-60.001641
2775.000000	-59.783190
2787.500000	-60.429081
2800.000000	-61.449892
2812.500000	-62.430212
2825.000000	-63.448669
2837.500000	-63.414001
2850.000000	-63.302081
2862.500000	-63.709272
2875.000000	-63.081273
2887.500000	-61.329064
2900.000000	-59.896156
2912.500000	-59.961665
2925.000000	-60.755405
2937.500000	-60.959546
2950.000000	-61.216671
2962.500000	-62.258298
2975.000000	-62.718516
2987.500000	-61.999322
3000.000000	-62.538027
3012.500000	-63.620522
3025.000000	-62.458782
3037.500000	-61.865521
3050.000000	-60.984323
3062.500000	-59.466807
3075.000000	-58.794941
3087.500000	-59.180052
3100.000000	-60.113829
3112.500000	-61.511315
3125.000000	-62.836340
3137.500000	-62.489925
3150.000000	-62.077247
3162.500000	-61.524804
3175.000000	-59.952763
3187.500000	-59.319259
3200.000000	-59.832388
3212.500000	-60.409224
3225.000000	-60.738767
3237.500000	-60.573800
3250.000000	-60.216262
3262.500000	-60.312950
3275.000000	-60.615149
3287.500000	-60.465233
3300.000000	-59.887054
3312.500000	-59.922357
3325.000000	-60.187206
3337.500000	-59.644323
3350.000000	-59.065848
3362.500000	-59.354783
3375.000000	-60.094032
3387.500000	-60.188857
