Frequency	dBm
0.000000	1.948065
12.500000	3.012042
25.000000	-2.951699
37.500000	-13.354444
50.000000	-29.133335
62.500000	-50.711180
75.000000	-53.435421
87.500000	-54.010816
100.000000	-55.073885
112.500000	-56.615612
125.000000	-57.703622
137.500000	-57.728516
150.000000	-57.172435
162.500000	-56.831608
175.000000	-57.895804
187.500000	-60.568397
200.000000	-59.057721
212.500000	-56.273020
225.000000	-56.051286
237.500000	-57.074727
250.000000	-57.858112
262.500000	-57.981674
275.000000	-57.444059
287.500000	-56.760698
300.000000	-56.023477
312.500000	-56.177143
325.000000	-57.293814
337.500000	-57.853202
350.000000	-57.671756
362.500000	-56.864635
375.000000	-55.403822
387.500000	-54.503557
400.000000	-54.659146
412.500000	-55.536143
425.000000	-56.890254
437.500000	-58.169012
450.000000	-59.118751
462.500000	-59.010645
475.000000	-58.395517
487.500000	-58.620692
500.000000	-58.378167
512.500000	-57.541104
525.000000	-58.105640
537.500000	-59.645621
550.000000	-58.833486
562.500000	-58.124920
575.000000	-58.499654
587.500000	-58.952391
600.000000	-58.597005
612.500000	-57.463224
625.000000	-57.692470
637.500000	-59.520471
650.000000	-59.825100
662.500000	-59.098471
675.000000	-58.969318
687.500000	-58.736768
700.000000	-59.119861
712.500000	-59.498304
725.000000	-59.186243
737.500000	-59.034305
750.000000	-59.552792
762.500000	-59.834613
775.000000	-58.546307
787.500000	-56.977211
800.000000	-56.520151
812.500000	-57.641050
825.000000	-59.732598
837.500000	-59.999069
850.000000	-58.550043
862.500000	-57.227546
875.000000	-56.289723
887.500000	-56.496684
900.000000	-56.817053
912.500000	-55.694841
925.000000	-55.083132
937.500000	-55.819279
950.000000	-56.508996
962.500000	-54.384166
975.000000	-46.543471
987.500000	-40.749967
1000.000000	-38.800029
1012.500000	-40.703732
1025.000000	-46.481256
1037.500000	-55.151001
1050.000000	-60.311455
1062.500000	-60.474398
1075.000000	-58.950031
1087.500000	-57.821844
1100.000000	-57.645750
1112.500000	-58.534269
1125.000000	-59.547529
1137.500000	-60.536491
1150.000000	-61.136551
1162.500000	-60.183823
1175.000000	-59.564916
1187.500000	-60.314973
1200.000000	-60.254397
1212.500000	-57.738652
1225.000000	-56.034156
1237.500000	-56.105977
1250.000000	-57.013810
1262.500000	-57.252309
1275.000000	-57.115384
1287.500000	-56.843060
1300.000000	-56.269512
1312.500000	-56.432755
1325.000000	-57.298888
1337.500000	-58.220927
1350.000000	-58.139915
1362.500000	-56.836317
1375.000000	-56.313775
1387.500000	-56.862659
1400.000000	-57.690964
1412.500000	-58.280918
1425.000000	-58.639012
1437.500000	-58.108666
1450.000000	-56.692845
1462.500000	-56.143801
1475.000000	-57.066739
1487.500000	-57.564839
1500.000000	-57.191712
1512.500000	-57.976600
1525.000000	-59.743585
1537.500000	-59.453581
1550.000000	-58.127898
1562.500000	-58.347057
1575.000000	-59.558671
1587.500000	-59.402274
1600.000000	-58.455725
1612.500000	-58.630152
1625.000000	-58.922693
1637.500000	-58.211724
1650.000000	-58.437682
1662.500000	-60.392237
1675.000000	-61.897853
1687.500000	-60.979967
1700.000000	-59.437558
1712.500000	-58.849975
1725.000000	-58.830666
1737.500000	-58.076935
1750.000000	-57.657824
1762.500000	-58.462131
1775.000000	-59.737465
1787.500000	-59.258882
1800.000000	-58.519664
1812.500000	-58.964003
1825.000000	-58.751320
1837.500000	-57.810519
1850.000000	-57.402297
1862.500000	-57.369488
1875.000000	-57.534014
1887.500000	-57.479388
1900.000000	-56.694440
1912.500000	-56.080150
1925.000000	-56.636771
1937.500000	-58.265006
1950.000000	-58.710888
1962.500000	-57.368064
1975.000000	-56.271389
1987.500000	-56.143947
2000.000000	-56.976407
2012.500000	-58.190428
2025.000000	-59.107724
2037.500000	-59.837208
2050.000000	-59.881678
2062.500000	-56.624197
2075.000000	-53.372389
2087.500000	-53.491764
2100.000000	-56.688059
2112.500000	-58.484760
