Frequency	dBm
0.000000	2.016889
12.500000	3.081266
25.000000	-2.880894
37.500000	-13.277443
50.000000	-28.989442
62.500000	-50.088738
75.000000	-56.322825
87.500000	-57.439309
100.000000	-57.923301
112.500000	-58.573673
125.000000	-58.937477
137.500000	-57.342798
150.000000	-55.748069
162.500000	-56.193120
175.000000	-57.541704
187.500000	-57.256968
200.000000	-56.824389
212.500000	-57.007686
225.000000	-56.916699
237.500000	-56.366427
250.000000	-56.441642
262.500000	-56.834711
275.000000	-56.812397
287.500000	-57.035174
300.000000	-57.596921
312.500000	-58.714980
325.000000	-59.042528
337.500000	-58.256753
350.000000	-58.551862
362.500000	-59.450201
375.000000	-59.855461
387.500000	-59.322432
400.000000	-58.125864
412.500000	-57.664479
425.000000	-57.510462
437.500000	-57.367619
450.000000	-58.163894
462.500000	-58.375560
475.000000	-56.583673
487.500000	-55.388231
500.000000	-55.752907
512.500000	-57.346669
525.000000	-59.647398
537.500000	-61.143687
550.000000	-60.573864
562.500000	-59.736848
575.000000	-59.456406
587.500000	-59.646019
600.000000	-60.000850
612.500000	-58.875688
625.000000	-58.915994
637.500000	-61.046876
650.000000	-60.016853
662.500000	-58.411611
675.000000	-57.892217
687.500000	-57.646280
700.000000	-57.765770
712.500000	-57.510177
725.000000	-57.578397
737.500000	-58.867088
750.000000	-59.213028
762.500000	-58.768929
775.000000	-59.353198
787.500000	-60.236449
800.000000	-59.634086
812.500000	-57.978539
825.000000	-56.471827
837.500000	-55.612878
850.000000	-56.078833
862.500000	-57.905606
875.000000	-59.100271
887.500000	-59.409926
900.000000	-59.604737
912.500000	-59.221060
925.000000	-59.568516
937.500000	-55.979227
950.000000	-32.904933
962.500000	-17.107795
975.000000	-6.688152
987.500000	-0.708992
1000.000000	1.252677
1012.500000	-0.675235
1025.000000	-6.608806
1037.500000	-16.932460
1050.000000	-32.334482
1062.500000	-50.964252
1075.000000	-54.200052
1087.500000	-55.215688
1100.000000	-57.069677
1112.500000	-57.988149
1125.000000	-58.251939
1137.500000	-58.064589
1150.000000	-57.697757
1162.500000	-57.514913
1175.000000	-57.403758
1187.500000	-56.750640
1200.000000	-56.237813
1212.500000	-56.610181
1225.000000	-57.302113
1237.500000	-57.530966
1250.000000	-57.675978
1262.500000	-58.649293
1275.000000	-59.305188
1287.500000	-58.351558
1300.000000	-57.500071
1312.500000	-57.144171
1325.000000	-56.774282
1337.500000	-57.457255
1350.000000	-58.969778
1362.500000	-57.948327
1375.000000	-56.958449
1387.500000	-57.667116
1400.000000	-58.048223
1412.500000	-57.698457
1425.000000	-57.678863
1437.500000	-57.699882
1450.000000	-57.450890
1462.500000	-56.972244
1475.000000	-56.940686
1487.500000	-57.619353
1500.000000	-58.061259
1512.500000	-58.137552
1525.000000	-58.230706
1537.500000	-58.473955
1550.000000	-59.560220
1562.500000	-60.973870
1575.000000	-60.775512
1587.500000	-60.444840
1600.000000	-60.615868
1612.500000	-59.399270
1625.000000	-58.900464
1637.500000	-59.945655
1650.000000	-59.250608
1662.500000	-57.774193
1675.000000	-56.900088
1687.500000	-56.523476
1700.000000	-56.739752
1712.500000	-57.262298
1725.000000	-57.742755
1737.500000	-58.452849
1750.000000	-58.666497
1762.500000	-57.907809
1775.000000	-57.627949
